code,type,discipline,result,wind,venue,venueCountry,venueCity,environment,date,name,firstname,lastname,nation,yearOfBirth,sex
AL,4,10K,27:54.43,,Rishon Letzion,ISR,Rishon Letzion,Outdoor,2024-02-15,,Naibei,Kiplimo Mayebei,KEN,2000.0,Male
AL,4,SPE,62.24,,McArthur Stadium,RSA,Potchefstroom,Outdoor,2024-02-14,,Jo-Ane,Van Dyk,RSA,1997.0,Female
AL,4,HAM,70.39,,McArthur Stadium,RSA,Potchefstroom,Outdoor,2024-02-20,,Alan,Cumming,RSA,1996.0,Male
AL,4,DRE,13.89,,Sports Performance Center,USA,"Lubbock, TX",Indoor,2024-01-20,,Ruth,Usoro,NGR,1997.0,Female
AL,4,10K,32:04.08,,Pilditch Stadium,RSA,Pretoria,Outdoor,2024-03-08,,Glenrose,Xaba,RSA,1994.0,Female
AL,4,4×4,3:36.16,,Nyayo National Stadium,KEN,Nairobi,Outdoor,2024-01-27,,,,KEN,,Female
AL,4,1K5,3:34.44,,Arena Stade Couvert,FRA,Liévin,Indoor,2024-02-10,,Vincent,Kibet Keter,KEN,2002.0,Male
AL,4,60M,6.51,,AccorHotels Arena de Bercy,FRA,Paris,Indoor,2024-02-11,,Ferdinand,Omanyala,KEN,1996.0,Male
AL,4,HOC,1.96,,Sports Performance Center,USA,"Lubbock, TX",Indoor,2024-01-19,,Temitope,Simbiat Adeshina,NGR,1998.0,Female
AL,4,600,1:28.22,,Clemson Indoor Track & Field Complex,USA,"Clemson, SC",Indoor,2024-01-12,,Gladys,Chepngetich,KEN,,Female
AL,4,1K5,3:55.28,,Arena,POL,Toruń,Indoor,2024-02-06,,Freweyni,Hailu,ETH,2001.0,Female
AL,4,2KH,5:51.75,,McArthur Stadium,RSA,Potchefstroom,Outdoor,2024-02-20,,Tumisang,Monatlala,RSA,1995.0,Male
AL,4,5G,19:43.64,,Complexe Olympique Mohamed Boudiaf,ALG,Algiers,Outdoor,2024-01-06,,Ismail,Benhammouda,ALG,2003,Male
AL,4,WEI,6.87,,Sports Performance Center,USA,"Lubbock, TX",Indoor,2024-02-09,,Ruth,Usoro,NGR,1997.0,Female
AL,4,KUG,21.63,,Sportovní Hala,CZE,Nehvizdy,Indoor,2024-02-20,,Chukwuebuka,Cornnell Enekwechi,NGR,1993.0,Male
AL,4,400,51.25,,Nyayo National Stadium,KEN,Nairobi,Outdoor,2024-03-06,,Mary,Moraa,KEN,2000.0,Female
AL,4,10G,40:14.25,,Miloud HEDEFI Athletics Stadium,ALG,Oran,Outdoor,2024-03-01,,Ismail,Benhammouda,ALG,2003.0,Male
