result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
2:11:53,Marathon,Africa,,ETH,Berlin,GER,2023-09-24,Tigst Assefa,1996,women,Outdoor
2:19:12,Marathon,Asia,,JPN,Berlin,GER,2005-09-25,Mizuki Noguchi,1978,women,Outdoor
2:18:59,Marathon,Asia,,JPN,Osaka,JPN,2024-01-28,Honami Maeda,1996,women,Outdoor
2:15:25,Marathon,Europe,,GBR,London,GBR,2003-04-13,Paula Radcliffe,1973,women,Outdoor
2:13:44,Marathon,Europe,,NED,Chicago IL,USA,2023-10-08,Sifan Hassan,1993,women,Outdoor
2:18:29,Marathon,NACAC,,USA,Chicago IL,USA,2022-10-09,Emily Sisson,1991,women,Outdoor
2:21:34,Marathon,Oceania,,AUS,Valencia,ESP,2022-12-04,Sinead Diver,1977,women,Outdoor
2:25:57,Marathon,South America,,PER,Sevilla,ESP,2022-02-20,Gladys Tejeda,1985,women,Outdoor
2:25:35,Marathon,South America,,COL,Berlin,GER,2023-09-24,Angie Orjuela,1989,women,Outdoor
2:24:50,Marathon,South America,,ECU,Valencia,ESP,2023-12-03,Silvia Patricia Ortiz,1992,women,Outdoor
2:24:18,Marathon,South America,,ARG,Sevilla,ESP,2024-02-18,Florencia Borelli,1992,women,Outdoor
6826,One Hour,Europe,,SWE,Skövde,SWE,2023-03-11,Jana Martinsson,1968,women,Outdoor
4:07.64,One Mile,Africa,,KEN,Monaco,MON,2023-07-21,Faith Kipyegon,1994,women,Outdoor
4:17.75,One Mile,Asia,,BRN,Bruxelles,BEL,2007-09-14,Maryam Jamal,1984,women,Outdoor
4:12.33,One Mile,Europe,,NED,Monaco,MON,2019-07-12,Sifan Hassan,1993,women,Outdoor
4:16.35,One Mile,NACAC,,USA,Monaco,MON,2023-07-21,Nikki Hiltz,1994,women,Outdoor
4:15.34,One Mile,Oceania,,AUS,Monaco,MON,2023-07-21,Jessica Hull,1996,women,Outdoor
4:27.41,One Mile,South America,,VEN,Monaco,MON,2023-07-21,Joselyn Daniely Brea,1994,women,Outdoor
4.42,Pole Vault,Africa,,RSA,Wesel,GER,2000-06-12,Elmarie Gerryts,1972,women,Outdoor
4.72,Pole Vault,Asia,,CHN,Shanghai,CHN,2019-05-18,Li Ling,1989,women,Outdoor
5.06,Pole Vault,Europe,,RUS,Zürich,SUI,2009-08-28,Yelena Isinbayeva,1982,women,Outdoor
4.94,Pole Vault,Oceania,,NZL,Jockgrim,GER,2018-07-17,Eliza McCartney,1996,women,Outdoor
4.87,Pole Vault,South America,,BRA,São Bernardo do Campo,BRA,2016-07-03,Fabiana Murer,1981,women,Outdoor
18.43,Shot Put,Africa,,NGR,Walnut CA,USA,2003-04-19,Vivian Chukwuemeka,1975,women,Outdoor
21.76,Shot Put,Asia,,CHN,Shijiazhuang,CHN,1988-04-23,Li Meisu,1959,women,Outdoor
22.63,Shot Put,Europe,,RUS,Moskva,URS,1987-06-07,Natalya Lisovskaya,1962,women,Outdoor
20.96,Shot Put,NACAC,,CUB,Ciudad de México,MEX,1992-05-02,Belsis Laza,1967,women,Outdoor
21.24,Shot Put,Oceania,,NZL,Daegu,KOR,2011-08-29,Valerie Adams,1984,women,Outdoor
19.30,Shot Put,South America,,BRA,Tunja,COL,2001-07-14,Elisângela Adriano,1972,women,Outdoor
15.39,Triple Jump,Africa,+0.5,CMR,Beijing,CHN,2008-08-17,Françoise Mbango,1976,women,Outdoor
