code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AR;1;400;M;45.18;;Lubbock;USA;Indoor;2024-02-23;Eugene Omalla;;;NED;2000;Male
AR;5;400;M;45.39;;Stockholm;SWE;Indoor;2015-02-19;Abdalelah Haroun;;;QAT;1997;Male
AR;1;400;M;45.05;;Sindelfingen;FRG;Indoor;1988-02-05;Thomas Schönlebe;;;GER;1965;Male
AR;1;400;M;45.05;;Glasgow;GBR;Indoor;2019-03-02;Karsten Warholm;;;NOR;1996;Male
AR;2;400;M;44.49;;Fayetteville;USA;Indoor;2024-02-24;Christopher Morales Williams;;;CAN;2004;Male
AR;6;400;M;45.44;;Clemson;USA;Indoor;2018-02-23;Steven Solomon;;;AUS;1993;Male
AR;3;400;M;46.07;;Birmingham;USA;Indoor;2019-03-09;Alejandro Perlaza;;;COL;1994;Male
AR;1;40H;M;49.87;;Nerja;ESP;Indoor;2023-04-15;Jesus David Delgado;;;ESP;1999;Male
AR;4;5K0;M;12:49.60;;Birmingham;GBR;Indoor;2004-02-20;Kenenisa Bekele;;;ETH;1982;Male
AR;5;5K0;M;13:08.41;;Boston;USA;Indoor;2022-02-12;Kieran Tuntivate;;;THA;1997;Male
AR;1;5K0;M;12:57.08;;Boston;USA;Indoor;2022-02-12;Marc Scott;;;GBR;1993;Male
AR;2;5K0;M;12:51.61;;Boston;USA;Indoor;2023-01-27;Woody Kincaid;;;USA;1992;Male
AR;6;5K0;M;13:04.33;;Boston;USA;Indoor;2024-01-26;Geordie Beamish;;;NZL;1996;Male
AR;3;5K0;M;13:42.54;;San Sebastián;ESP;Indoor;1990-02-20;Antonio Silio;;;ARG;1966;Male
AR;4;5G;M;19:39.92;;Liévin;FRA;Indoor;2018-02-18;Hédi Taraaoui;;;TUN;1989;Male
AR;5;5G;M;21:46.37;;Ust-Kamenogorsk;KAZ;Indoor;2024-02-23;Egizbay Zharylkasyn;;;KAZ;2006;Male
AR;1;5G;M;18:07.08;;Moskva;RUS;Indoor;1995-02-14;Mikhail Shchennikov;;;RUS;1967;Male
AR;2;5G;M;19:21.18;;Bratislava;SVK;Indoor;2019-01-27;Erick Barrondo;;;GUA;1991;Male
AR;3;5G;M;19:28.87;;Toronto;CAN;Indoor;1993-03-13;Sérgio Galdino;;;BRA;1969;Male
AR;4;60M;M;6.45;;Air Force Academy;USA;Indoor;1999-02-20;Leo Myles-Mills;;;GHA;1973;Male
AR;5;60M;M;6.42;;Birmingham;GBR;Indoor;2018-03-03;Su Bingtian;;;CHN;1989;Male
AR;1;60M;M;6.41;;Beograd;SRB;Indoor;2022-03-19;Lamont Marcell Jacobs;;;ITA;1994;Male
AR;2;60M;M;6.34;;Albuquerque;USA;Indoor;2018-02-18;Christian Coleman;;;USA;1996;Male
