Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex
AR;5;4×4;X;3:11.82;;Doha;QAT;Outdoor;2019-09-29;Bahrain;;BRN;;Mixed
AR;5;MEI;M;3:54.84;;Boston;USA;Indoor;2024-02-10;Ryoma;Aoki;JPN;1997;Male
AR;5;50M;M;5.69;;Liévin;FRA;Indoor;2002-02-24;Gennadiy;Chernovol;KAZ;1976;Male
AR;5;60M;M;6.42;;Birmingham;GBR;Indoor;2018-03-03;Bingtian;Su;CHN;1989;Male
AR;5;200;M;20.63;;Maebashi;JPN;Indoor;1999-03-05;Koji;Ito;JPN;1970;Male
AR;5;800;M;1:45.26;;Valencia;ESP;Indoor;2008-03-09;Yusuf;Saad Kamel;BRN;1983;Male
AR;5;1K0;M;2:17.06;;Gent;BEL;Indoor;2008-02-24;Belal;Mansoor Ali;BRN;1988;Male
AR;5;1K5;M;3:36.28;;Stockholm;SWE;Indoor;2007-02-20;Belal;Mansoor Ali;BRN;1988;Male
AR;5;3K0;M;7:31.77;;Liévin;FRA;Indoor;2022-02-17;Birhanu;Balew;BRN;1996;Male
AR;5;5K0;M;13:08.41;;Boston;USA;Indoor;2022-02-12;Kieran;Tuntivate;THA;1997;Male
AR;5;50H;M;6.44;;Liévin;FRA;Indoor;2004-02-28;Xiang;Liu;CHN;1983;Male
AR;5;60H;M;7.41;;Birmingham;GBR;Indoor;2012-02-18;Xiang;Liu;CHN;1983;Male
AR;5;5G;M;19:14.00;;Karaganda;KAZ;Indoor;1995-01-28;Sergey;Korepanov;KAZ;1964;Male
AR;5;4×2;M;1:26.70;;Ust-Kamenogorsk;KAZ;Indoor;2018-01-15;Karaganda;Region;KAZ;;Male
AR;5;4×8;M;8:48.6;;Tokyo;JPN;Indoor;1961-03-19;Ricker;Co;JPN;;Male
AR;5;MEI;W;4:24.71;;Birmingham;GBR;Indoor;2010-02-20;Maryam;Yusuf Jamal;BRN;1984;Female
AR;5;50M;W;6.31;;Liévin;FRA;Indoor;2001-02-25;Susanthika;Jayasinghe;SRI;1975;Female
AR;5;60M;W;7.09;;Stuttgart;GER;Indoor;1999-02-07;Susanthika;Jayasinghe;SRI;1975;Female
AR;5;200;W;22.99;;Lisboa;POR;Indoor;2001-03-09;Susanthika;Jayasinghe;SRI;1975;Female
AR;5;800;W;2:00.78;;Yokohama;JPN;Indoor;2003-02-22;Miho;Sugimori;JPN;1978;Female
AR;5;1K0;W;2:46.6;;Beijing;CHN;Indoor;1987-03-27;Xiujuan;Geng;CHN;1964;Female
AR;5;1K5;W;3:59.79;;Valencia;ESP;Indoor;2008-03-09;Maryam;Yusuf Jamal;BRN;1984;Female
AR;5;3K0;W;8:36.03;;Glasgow;GBR;Indoor;2024-03-02;Nozomi;Tanaka;JPN;1999;Female
AR;5;5K0;W;15:23.87;;Boston;USA;Indoor;2022-02-27;Mikuni;Yada;JPN;1999;Female
AR;5;50H;W;6.70;;Budapest;HUN;Indoor;1999-02-05;Olga;Shishigina;KAZ;1968;Female
AR;5;60H;W;7.82;;Liévin;FRA;Indoor;1999-02-21;Olga;Shishigina;KAZ;1968;Female
AR;5;3G;W;12:42.65;;Osaka;JPN;Indoor;1994-02-11;Yuko;Sato;JPN;1968;Female
AR;5;4×2;W;1:36.40;;Ust-Kamenogorsk;KAZ;Indoor;2017-02-11;Almaty;Team;KAZ;;Female
AR;3;HOC;M;2.33;;Pereira;COL;Outdoor;1994-10-17;Gilmar;Mayo;COL;1969;Male
AR;3;STA;M;6.03;;Rio de Janeiro;BRA;Outdoor;2016-08-15;Thiago;Braz;BRA;1993;Male
